City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
142,Ponta Do Sol,PT,2022-09-08 02:10:42,32.6667,-17.1,72.72,77,1,3.49,clear sky
143,Vrapciste,MK,2022-09-08 02:18:00,41.8339,20.8853,62.22,72,9,2.64,clear sky
144,Sibolga,ID,2022-09-08 02:18:01,1.7427,98.7792,81.37,72,97,1.41,overcast clouds
145,Kysyl-Syr,RU,2022-09-08 02:18:02,63.8986,122.7617,49.96,64,96,10.22,overcast clouds
146,Kourou,GF,2022-09-08 02:18:03,5.1552,-52.6478,75.25,89,67,7.61,broken clouds
147,Kruisfontein,ZA,2022-09-08 02:10:15,-34.0033,24.7314,52.54,76,3,4.9,clear sky
148,Fortuna,US,2022-09-08 02:18:05,40.5982,-124.1573,69.1,79,15,1.01,few clouds
149,Bakchar,RU,2022-09-08 02:12:09,57.0186,82.0711,46.62,72,100,17.78,overcast clouds
150,Chinhoyi,ZW,2022-09-08 02:18:08,-17.3667,30.2,58.95,61,0,7.94,clear sky
151,Aklavik,CA,2022-09-08 02:18:09,68.2191,-135.0107,46.99,64,100,6.08,overcast clouds
152,Pangnirtung,CA,2022-09-08 02:18:11,66.1451,-65.7125,46.81,62,100,10.49,overcast clouds
153,Faya,SA,2022-09-08 02:14:03,18.3851,42.4509,64.92,32,5,5.82,clear sky
154,Cape Town,ZA,2022-09-08 02:17:48,-33.9258,18.4232,56.91,86,0,18.41,clear sky
155,Beni,CD,2022-09-08 02:18:14,0.5,29.4667,60.53,94,78,2.55,broken clouds
156,Yanam,IN,2022-09-08 02:18:15,16.7333,82.2167,77.34,92,100,3.51,overcast clouds
157,Paamiut,GL,2022-09-08 02:18:16,61.994,-49.6678,40.73,83,100,9.35,overcast clouds
158,Sao Jose Da Coroa Grande,BR,2022-09-08 02:18:17,-8.8978,-35.1478,73.26,78,54,10.96,broken clouds
159,Cusco,PE,2022-09-08 02:18:18,-13.5183,-71.9781,50.23,62,7,6.91,clear sky
160,Broken Hill,AU,2022-09-08 02:06:54,-31.95,141.4333,62.6,47,0,22.19,clear sky
161,Bereda,ES,2022-09-08 02:18:20,43.2686,-7.5406,62.42,100,100,4.23,overcast clouds
162,Morales,CO,2022-09-08 02:18:21,2.757,-76.6172,59.16,92,44,1.63,scattered clouds
163,Gemena,CD,2022-09-08 02:18:22,3.25,19.7667,71.02,98,100,1.16,overcast clouds
164,Oyama,JP,2022-09-08 02:18:23,36.3,139.8,79.59,95,100,9.48,moderate rain
165,Shieli,KZ,2022-09-08 02:18:24,44.1667,66.75,66.36,23,79,15.99,broken clouds
166,Cherskiy,RU,2022-09-08 02:18:25,68.75,161.3,60.06,34,100,22.3,overcast clouds
167,Dingle,PH,2022-09-08 02:18:26,10.9995,122.6711,85.35,74,52,4.38,broken clouds
168,La Rioja,ES,2022-09-08 02:18:27,42.25,-2.5,53.38,68,100,6.49,overcast clouds
169,Zemio,CF,2022-09-08 02:09:02,5.0314,25.1361,66.92,98,100,2.21,light rain
170,Deputatskiy,RU,2022-09-08 02:09:15,69.3,139.9,37.42,95,100,9.15,moderate rain
171,Belmonte,BR,2022-09-08 02:12:24,-15.8631,-38.8828,70.12,82,87,10.69,overcast clouds
172,Hilo,US,2022-09-08 02:18:22,19.7297,-155.09,84.27,74,75,10.36,broken clouds
173,Arraial Do Cabo,BR,2022-09-08 02:18:34,-22.9661,-42.0278,68.29,79,0,28.25,clear sky
174,Codrington,AU,2022-09-08 02:18:35,-38.2667,141.9667,57.09,94,100,15.86,moderate rain
175,Haines Junction,CA,2022-09-08 02:11:52,60.7522,-137.5108,53.55,43,96,11.5,overcast clouds
176,Kisangani,CD,2022-09-08 02:18:38,0.5167,25.2,70.47,95,100,1.19,light rain
177,Komsomolskiy,UZ,2022-09-08 02:18:39,40.4272,71.7189,72.32,35,0,4.61,clear sky
178,Snezhnogorsk,RU,2022-09-08 02:18:40,69.1933,33.2531,40.78,78,100,13.06,overcast clouds
179,Nantucket,US,2022-09-08 02:16:48,41.2835,-70.0995,66.31,87,75,11.5,broken clouds
180,Den Helder,NL,2022-09-08 02:18:41,52.9599,4.7593,66.18,83,100,9.22,overcast clouds
181,Kalmunai,LK,2022-09-08 02:18:42,7.4167,81.8167,80.69,74,100,2.75,overcast clouds
182,Los Llanos De Aridane,ES,2022-09-08 02:18:43,28.6585,-17.9182,67.75,83,0,10.36,clear sky
183,Isangel,VU,2022-09-08 02:18:44,-19.55,169.2667,80.96,71,7,4.68,clear sky
184,Pouembout,NC,2022-09-08 02:18:45,-21.1333,164.9,74.43,70,62,6.02,broken clouds
185,Vilcun,CL,2022-09-08 02:17:08,-38.65,-72.2333,29.14,96,29,2.17,scattered clouds
186,Acari,PE,2022-09-08 02:18:48,-15.4311,-74.6158,64.2,70,45,3.38,scattered clouds
187,Jalu,LY,2022-09-08 02:18:49,29.0331,21.5482,71.47,55,0,9.57,clear sky
188,Fukue,JP,2022-09-08 02:18:50,32.6881,128.8419,80.96,65,40,12.66,scattered clouds
189,Rio Grande,BR,2022-09-08 02:18:51,-32.035,-52.0986,60.24,88,61,4.54,broken clouds
190,Rawson,AR,2022-09-08 02:18:52,-43.3002,-65.1023,43.72,61,81,10.58,broken clouds
191,Shakawe,BW,2022-09-08 02:18:53,-18.3667,21.85,60.76,43,0,5.26,clear sky
192,San Ignacio,BZ,2022-09-08 02:18:54,17.1561,-89.0714,77.14,94,75,6.91,broken clouds
193,Itarema,BR,2022-09-08 02:13:33,-2.9248,-39.9167,77.36,81,2,15.84,clear sky
